Vertex:	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	HITS
http://www.granitecreek.ca	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.levieuxpin.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.littletribunefarmandwinery.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.arrowleafcellars.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.vistadoro.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.theviewwinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.mfvwines.com	39.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.camelotvineyards.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.closdusoleil.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.tinhorn.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.wildgoosewinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.larchhillswinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.celistawine.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.40knotswinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.stagshollowwinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.summerhill.bc.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.stoneboatvineyards.com	0.0	0.5217391304347826	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.sumacridge.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.pacificbreezewinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.paintedrock.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.cedarcreek.bc.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.blastedchurch.com	0.0	0.6666666666666666	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.ancienthillwinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.bailliegrohman.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.nicholvineyard.com	0.0	0.5384615384615384	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.thefortwineco.com	2.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.vancouverurbanwinery.com	24.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.krazelegz.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.unsworthvineyards.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.deserthills.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.inniskillin.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.exnihilovineyards.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.intriguewines.ca	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.road13vineyards.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.averillcreek.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.musewinery.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.houseofrose.ca	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.spierheadwinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.blueheronwinery.ca	0.0	0.6	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.jacksontriggswinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.lakebreeze.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.recline-ridge.bc.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.hestercreek.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.ovinowinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.middlemountainmead.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.silkw.net	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.rollingdale.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.nkmipcellars.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.skimmerhorn.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.sperlingvineyards.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.coastalblack.ca	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.tastevibrantvines.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.graymonk.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.sylranch.com	0.0	1.0	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.tantalus.ca	0.0	0.7058823529411764	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.eauvivrewinery.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.bluemountainwinery.com	0.0	0.7142857142857143	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.quaywine.com	0.0	0.52	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.howlingbluff.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.churchandstatewines.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.blackhillswinery.com	0.0	0.5217391304347826	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.rusticrootswinery.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.laughingstock.ca	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.quailsgate.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.nobleridge.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
http://www.merridalecider.com	0.0	NaN	0.015151515151515152	[h:0.0152,a:0.0152]
